# 漢字割当の基本形(代表語根)上書き表。漢字 TAB 語根。
# CSV難易度(Unified_Level)+中心義に基づき、学習者基礎語を基本形に固定する意味的例外。
# 2026-06 ユーザー承認。識別子付与(_gas_identifier.ps1)でこの語根を各群の先頭(base)に強制。
学	lern
解	kompren
能	pov
富	riĉ
似	simil
切	tranĉ
痛	dolor
等	egal
内	en
除	escept
傲	arog
厘	centi
抗	protest
表	tabel
信	kred
存	ekzist
板	plank
分	on
代	anstataŭ
清	klar
勇	kuraĝ
方	direkt
建	konstru
颜	vizaĝ
团	grup
乳	lakt
诉	plend
例	ekzempl
园	ĝarden
复	ripet
底	fund
尊	estim
长	long
突	subit
响	sonor
喂	ho
危	danĝer
敬	respekt
育	kresk
静	trankvil
记	memor
细	delikat
盒	skatol
特	special
罪	kulp
裤	pantalon
进	progres
皮	haŭt
虫	insekt
杯	glas
想	opini
空	spac
愚	stult
枝	branĉ
票	bilet
论	diskut
伴	koleg
剧	teatr
讲	preleg
帽	ĉapel
衡	ekvilibr
卷	volv
麦	tritik
供	ofert
银	arĝent
式	manier
影	ombr
馆	hotel
问	demand
订	mend
肉	viand
热	hejt
球	pilk
角	angul
盘	teler
哲	filozof
# 保険固定(2026-07-14 ユーザー承認): 現状の基本形をスクリプト副作用から保護(適用時点で全て既に基本形=出力不変)
槽	fold
生	nask
事	ke
厅	hal
针	nadl
# 地测群の基本形を頻出のgeometri(幾何学14行)へ。geometr(測量士3行)は短語根タイブレークで基本形化していた(2026-07-15 監査是正)
地测	geometri
# 原型群の基本形をPEJVO prototip(学術32433行)へ固定。arke→原是正後、arketip(PIV 45289行)が短語根タイブレークでbare原型を奪取した層順逆転を是正(2026-07-18監査)
原型	prototip
# 神主义/神家群の基本形を先在のteism/teist(有神論/有神論者)へ固定。deism=从主义→神主义是正(2026-07-19 REVIEW専用パス・wrong-morpheme是正・diism整合)で新規同字群が生じ、deism/deistがタイブレークでbareを奪取しteism/teistが識別子付きに退化した(churn)。**4語とも真の出典位置は旧PEJVO(deism6076/deist6077/teism40044/teist40045行≤44440)でband=piv誤ラベル(802件の一部)**=同層(PEJVO)内ゆえ層順問題でなく識別子安定の維持=先在のteism/teistをbareに固定しdeism/deistに識別子を付与(現状維持型・原型→prototip型)。2026-07-19 第22回で別AI監査により tier誤記(PIV→PEJVO)是正。
神主义	teism
神家	teist
任	ajn
员	an
